epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.64239,2.78932,4.16003,1.80354,0,0,0,0,2.30304,3.97516,1.64021,0,0,0
2,3.26342,2.78903,4.15354,1.80266,0,0,0,0,2.28042,3.97847,1.63511,1.66535e-05,1.66535e-05,1.66535e-05
3,4.40926,2.5817,4.09715,1.65788,0,0,0,0,2.25576,3.97796,1.62405,3.3274e-05,3.3274e-05,3.3274e-05
4,5.47416,2.62785,4.08943,1.73984,0,0,0,0,2.2508,3.9784,1.62123,4.98615e-05,4.98615e-05,4.98615e-05
5,6.22352,2.87124,4.14233,1.80694,0,0,0,0,2.24047,3.97784,1.61542,6.64159e-05,6.64159e-05,6.64159e-05
6,6.71883,2.59574,4.1284,1.70093,0,0,0,0,2.23618,3.96234,1.59292,8.29374e-05,8.29374e-05,8.29374e-05
7,7.31714,2.49539,4.0407,1.62387,0,0,0,0,2.24071,3.95984,1.5932,9.94259e-05,9.94259e-05,9.94259e-05
8,7.9007,2.87705,4.1339,1.71901,0,0,0,0,2.22219,3.95036,1.56256,0.000115881,0.000115881,0.000115881
9,8.44662,2.72242,4.04168,1.59034,0,0,0,0,2.20147,3.91612,1.51073,0.000132304,0.000132304,0.000132304
10,8.99764,2.33007,3.88651,1.46098,0,0,0,0,2.18953,3.88886,1.47084,0.000148693,0.000148693,0.000148693
11,9.54719,2.26267,3.73232,1.40948,0,0,0,0,2.14897,3.86708,1.43035,0.00016505,0.00016505,0.00016505
12,10.1144,2.14559,3.62194,1.38531,0.00251,0.05064,0.00132,0.00075,2.09362,3.82487,1.39146,0.000181373,0.000181373,0.000181373
13,10.7028,2.13799,3.43215,1.36293,0.00335,0.06346,0.0018,0.00085,2.03864,3.77888,1.34496,0.000197664,0.000197664,0.000197664
